Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,11.630000,12.450000,11.601429,12.118571,10.438492,10841535600
2011-02-01,12.189286,13.032143,12.061429,12.614643,10.865795,9295949600
2011-03-01,12.695357,12.916786,11.652143,12.446786,10.721204,11306458800
2011-04-01,12.539643,12.683214,11.434286,12.504643,10.771044,9253829200
2011-05-01,12.490714,12.565357,11.765000,12.422500,10.700285,6912060400
2011-06-01,12.459643,12.576071,11.089286,11.988214,10.326209,9263850400
2011-07-01,11.998214,14.446429,11.935714,13.945714,12.012326,10653946800
2011-08-01,14.206429,14.267857,12.607857,13.743929,11.838518,16142599200
2011-09-01,13.779286,15.102143,13.088571,13.618571,11.730541,11977448000
2011-10-01,13.584643,15.239286,12.651429,14.456429,12.452241,13141427600
2011-11-01,14.193214,14.571429,12.975714,13.650000,11.757608,8963701600
2011-12-01,13.662143,14.610357,13.488571,14.464286,12.459009,6306532400
2012-01-01,14.621429,16.365713,14.607143,16.302856,14.042683,6859854400
2012-02-01,16.371786,19.557501,16.213572,19.372856,16.687073,11368554400
2012-03-01,19.577499,22.194643,18.436428,21.412500,18.443945,15584338000
2012-04-01,21.493929,23.000000,19.821428,20.856428,17.964962,15598990400
2012-05-01,20.889286,21.312857,18.649286,20.633215,17.772696,11106345600
2012-06-01,20.327143,21.071428,19.589287,20.857143,17.965580,7855825600
2012-07-01,20.883215,22.138214,20.357143,21.812857,18.788801,8909650400
2012-08-01,21.996786,24.316786,21.437500,23.758572,20.464766,8276206400
2012-09-01,23.777143,25.181070,23.428572,23.825001,20.610096,9199005200
2012-10-01,23.969999,24.169643,20.989286,21.261429,18.392447,12142830000
2012-11-01,21.365000,21.535713,18.062500,20.902857,18.082260,12929851200
2012-12-01,21.201786,21.235357,17.901072,19.006071,16.516520,12132752800
2013-01-01,19.779285,19.821428,15.535714,16.267500,14.136668,13123423600
2013-02-01,16.396786,17.319286,15.630714,15.764286,13.699365,9344034000
2013-03-01,15.642857,16.783930,14.964286,15.809286,13.818541,9176876800
2013-04-01,15.782143,15.901786,13.753571,15.813571,13.822287,10963489600
2013-05-01,15.873571,16.633928,14.960714,16.061787,14.039246,9447530400
2013-06-01,16.097500,16.229643,13.888214,14.161786,12.460430,7018536000
2013-07-01,14.381786,16.333570,14.329286,16.161785,14.220158,6538114800
2013-08-01,16.276787,18.347857,16.187857,17.400715,15.310246,8058338400
2013-09-01,17.610714,18.139999,15.972143,17.026787,15.080160,8630941200
2013-10-01,17.087500,19.258928,17.081429,18.667856,16.533607,7837732000
2013-11-01,18.715000,19.940357,18.299286,19.859644,17.589146,5225155600
2013-12-01,19.928572,20.540714,19.242857,20.036428,17.849323,7057397200
2014-01-01,19.845715,20.007143,17.626785,17.878571,15.927006,8765954400
2014-02-01,17.950357,19.685356,17.832144,18.794287,16.742769,5880366800
2014-03-01,18.693571,19.607143,18.671785,19.169287,17.179056,5001698800
2014-04-01,19.205713,21.408215,18.261786,21.074642,18.886589,6435060800
2014-05-01,21.142857,23.006071,20.726070,22.607143,20.259981,5735668400
2014-06-01,22.641430,23.762501,22.232143,23.232500,20.936701,4827739200
2014-07-01,23.379999,24.860001,23.142500,23.900000,21.538235,4140344000
2014-08-01,23.725000,25.725000,23.320000,25.625000,23.092773,3748308000
2014-09-01,25.764999,25.934999,24.035000,25.187500,22.811411,6105680000
2014-10-01,25.147499,27.010000,23.795000,27.000000,24.452927,5441120800
2014-11-01,27.055000,29.937500,26.930000,29.732500,26.927656,3281632800
2014-12-01,29.702499,29.812500,26.565001,27.594999,25.100164,4294378400
2015-01-01,27.847500,30.000000,26.157499,29.290001,26.641926,5221053600
2015-02-01,29.512501,33.400002,29.020000,32.115002,29.211523,4546140800
2015-03-01,32.312500,32.570000,30.407499,31.107500,28.406776,4554568400
2015-04-01,31.205000,33.634998,30.775000,31.287500,28.571152,3984542000
2015-05-01,31.525000,33.242500,30.840000,32.570000,29.742304,3816608400
2015-06-01,32.570000,32.847500,31.120001,31.357500,28.754684,3514426800
